title,artist,billboard_rank,tempo_from_public_dataset,danceability_from_public_dataset,acousticness,speechiness,duration_minutes,average_loudness,dynamic_complexity,danceable_probability,happy_probability,sad_probability,relaxed_probability,party_probability
Old Town Road,Lil Nas X,1,135.998,0.907,0.0578,0.127,1.8833333333333333,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Sunflower,Post Malone,2,89.96,0.755,0.533,0.0575,2.626,0.799683094025,5.64329767227,0.799676299095,0.124072141945,0.632427334785,0.887835621834,0.323227316141
Without Me,Halsey,3,136.041,0.752,0.297,0.0705,3.3610166666666665,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Bad Guy,Billie Eilish,4,135.128,0.701,0.328,0.375,3.2348,0.886195898056,4.63921928406,0.999901115894,0.0331370308995,0.693571269512,0.815766751766,0.0806108564138
Wow,Post Malone,5,99.96,0.829,0.136,0.208,2.49245,0.921585023403,4.4651632309,0.86701375246,0.177341639996,0.602901041508,0.958526790142,0.183010205626
Happier,Marshmello,6,100.015,0.687,0.191,0.0452,3.5715,0.903241872787,2.12966561317,0.999537229538,0.613036990166,0.279316276312,0.809688508511,0.0103386901319
7 Rings,Ariana Grande,7,140.048,0.778,0.592,0.334,2.977116666666667,0.886195898056,4.63921928406,0.999901115894,0.0331370308995,0.693571269512,0.815766751766,0.0806108564138
Talk,Khalid,8,97.949,0.596,0.0765,0.097,3.822,0.264016389847,5.37405109406,0.99503326416,0.307444959879,0.439626008272,0.655651390553,0.849270701408
Sicko Mode,Travis Scott,9,155.008,0.834,0.00513,0.222,5.213666666666667,0.832165181637,3.98202872276,0.988232016563,0.19737611711,0.29561817646,0.808817148209,0.000224145842367
Sucker,Jonas Brothers,10,137.958,0.842,0.0427,0.0588,3.0171166666666664,0.95696413517,3.04583024979,0.999999880791,0.524895846844,0.684066534042,0.735816240311,0.803327679634
High Hopes,Panic! at the Disco,11,82.014,0.579,0.193,0.0618,3.18245,0.903241872787,2.12966561317,0.999537229538,0.613036990166,0.279316276312,0.809688508511,0.0103386901319
"Thank U, Next",Ariana Grande,12,106.966,0.717,0.229,0.0658,3.4553333333333334,0.903241872787,2.12966561317,0.999537229538,0.613036990166,0.279316276312,0.809688508511,0.0103386901319
