title,artist,billboard_rank,tempo_from_public_dataset,danceability_from_public_dataset,acousticness,speechiness,duration_minutes,average_loudness,dynamic_complexity,danceable_probability,happy_probability,sad_probability,relaxed_probability,party_probability
Blinding Lights,The Weeknd,1,171.005,0.514,0.00146,0.0598,3.334,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
Circles,Post Malone,2,120.042,0.695,0.192,0.0395,3.588,0.734312474728,5.61559009552,0.988387525082,0.369450896978,0.331308811903,0.737974047661,0.721018135548
The Box,Roddy Ricch,3,116.971,0.896,0.104,0.0559,3.27755,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Don't Start Now,Dua Lipa,4,123.95,0.793,0.0123,0.083,3.0548333333333333,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Rockstar,DaBaby,5,89.977,0.746,0.247,0.164,3.0288833333333334,0.832326889038,7.6774969101,0.454260736704,0.0454634390771,0.309052497149,0.98367202282,0.629595398903
Adore You,Harry Styles,6,99.048,0.676,0.0237,0.0483,3.4522166666666667,0.90171790123,3.33709359169,0.999999880791,0.167481735349,0.269092738628,0.645422518253,0.411385983229
Life Is Good,Future,7,97.008,0.809,0.392,0.0735,3.00725,0.941546916962,3.26687526703,0.980263292789,0.614733338356,0.510960519314,0.889174699783,0.441952168941
Memories,Maroon 5,8,91.05,0.775,0.841,0.0557,3.1581,0.941546916962,3.26687526703,0.980263292789,0.614733338356,0.510960519314,0.889174699783,0.441952168941
The Bones,Maren Morris,9,77.004,0.612,0.278,0.0347,3.2882166666666666,0.903241872787,2.12966561317,0.999537229538,0.613036990166,0.279316276312,0.809688508511,0.0103386901319
Someone You Loved,Lewis Capaldi,10,109.891,0.501,0.751,0.0319,3.036016666666667,0.742222487926,5.54836368561,0.722457766533,0.227331414819,0.708696901798,0.737470149994,0.140534386039
Say So,Doja Cat,11,123.95,0.793,0.0123,0.083,3.0548333333333333,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
I Hope,Gabby Barrett,12,106.948,0.9,0.43,0.222,4.2,0.763618588448,5.71651363373,0.983037054539,0.0904417037964,0.154405802488,0.811287105083,0.70548927784
Whats Poppin,Jack Harlow,13,145.062,0.923,0.017,0.245,2.3290166666666665,0.963362574577,2.6114487648,0.999999880791,0.21921479702,0.509636461735,0.817196428776,0.915407299995
Dance Monkey,Tones and I,14,109.891,0.501,0.751,0.0319,3.036016666666667,0.742222487926,5.54836368561,0.722457766533,0.227331414819,0.708696901798,0.737470149994,0.140534386039
Savage,Megan Thee Stallion,15,168.983,0.843,0.0252,0.334,2.5916166666666665,0.640779674053,24.2089557648,3.00000096379e-14,0.999999880791,0.515458762646,0.808817088604,0.754786550999
Roxanne,Arizona Zervas,16,116.735,0.621,0.0522,0.148,2.7272666666666665,0.832326889038,7.6774969101,0.454260736704,0.0454634390771,0.309052497149,0.98367202282,0.629595398903
Intentions,Justin Bieber,17,83.903,0.511,0.349,0.2,3.9972666666666665,0.264016389847,5.37405109406,0.99503326416,0.307444959879,0.439626008272,0.655651390553,0.849270701408
Everything I Wanted,Billie Eilish,18,120.006,0.704,0.902,0.0994,4.090433333333333,0.742222487926,5.54836368561,0.722457766533,0.227331414819,0.708696901798,0.737470149994,0.140534386039
Roses,Saint Jhn,19,102.008,0.782,0.342,0.0611,2.8935166666666667,0.938247799873,4.00259399414,0.961608707905,0.0302187241614,0.341663807631,0.309068441391,0.535517990589
Watermelon Sugar,Harry Styles,20,95.39,0.548,0.122,0.0465,2.9,0.90171790123,3.33709359169,0.999999880791,0.167481735349,0.269092738628,0.645422518253,0.411385983229
Before You Go,Lewis Capaldi,21,111.881,0.459,0.604,0.0573,3.5851166666666665,0.742222487926,5.54836368561,0.722457766533,0.227331414819,0.708696901798,0.737470149994,0.140534386039
Falling,Trevor Daniel,22,97.008,0.809,0.392,0.0735,3.00725,0.941546916962,3.26687526703,0.980263292789,0.614733338356,0.510960519314,0.889174699783,0.441952168941
"10,000 Hours",Dan + Shay,23,89.991,0.654,0.149,0.0259,2.7948833333333334,0.90171790123,3.33709359169,0.999999880791,0.167481735349,0.269092738628,0.645422518253,0.411385983229
WAP,Cardi B,24,133.073,0.935,0.0194,0.375,3.1256833333333334,0.600928843021,8.1179265976,0.998786330223,0.11788161099,0.873338162899,0.911703765392,0.696237802505
Ballin',Mustard,25,97.008,0.809,0.392,0.0735,3.00725,0.941546916962,3.26687526703,0.980263292789,0.614733338356,0.510960519314,0.889174699783,0.441952168941
Hot Girl Bummer,Blackbear,26,129.992,0.782,0.125,0.0767,3.1390666666666664,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Blueberry Faygo,Lil Mosey,27,147.002,0.742,0.05,0.0345,2.0698,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Heartless,The Weeknd,28,108.959,0.664,0.0811,0.0305,6.017116666666666,0.264016389847,5.37405109406,0.99503326416,0.307444959879,0.439626008272,0.655651390553,0.849270701408
Bop,DaBaby,29,126.77,0.769,0.189,0.367,2.6619166666666665,0.600928843021,8.1179265976,0.998786330223,0.11788161099,0.873338162899,0.911703765392,0.696237802505
Lose You to Love Me,Selena Gomez,30,102.819,0.488,0.556,0.0436,3.440983333333333,0.742222487926,5.54836368561,0.722457766533,0.227331414819,0.708696901798,0.737470149994,0.140534386039
Good as Hell,Lizzo,31,95.982,0.682,0.256,0.0875,2.6622666666666666,0.938247799873,4.00259399414,0.961608707905,0.0302187241614,0.341663807631,0.309068441391,0.535517990589
Toosie Slide,Drake,32,93.394,0.586,0.0891,0.0705,3.51245,0.264016389847,5.37405109406,0.99503326416,0.307444959879,0.439626008272,0.655651390553,0.849270701408
Break My Heart,Dua Lipa,33,113.011,0.73,0.167,0.0884,3.697,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Chasin' You,Morgan Wallen,34,97.074,0.631,0.657,0.0277,3.4242166666666667,0.941546916962,3.26687526703,0.980263292789,0.614733338356,0.510960519314,0.889174699783,0.441952168941
Savage Love,Jawsh 685,35,150.076,0.767,0.234,0.0803,2.85625,0.640779674053,24.2089557648,3.00000096379e-14,0.999999880791,0.515458762646,0.808817088604,0.754786550999
No Guidance,Chris Brown,36,92.928,0.696,0.123,0.153,4.344,0.264016389847,5.37405109406,0.99503326416,0.307444959879,0.439626008272,0.655651390553,0.849270701408
My Oh My,Camila Cabello,37,105.046,0.724,0.018,0.0296,2.8457666666666666,0.915208756924,4.53272914886,0.987655937672,0.110107384622,0.260268807411,0.79944819212,0.687819719315
Dynamite,BTS,38,114.044,0.746,0.0112,0.0993,3.3175666666666666,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Go Crazy,Chris Brown,39,94.148,0.755,0.316,0.145,2.949333333333333,0.938247799873,4.00259399414,0.961608707905,0.0302187241614,0.341663807631,0.309068441391,0.535517990589
High Fashion,Roddy Ricch,40,97.956,0.831,0.269,0.114,3.6747833333333335,0.763618588448,5.71651363373,0.983037054539,0.0904417037964,0.154405802488,0.811287105083,0.70548927784
Laugh Now Cry Later,Drake,41,154.983,0.912,0.0164,0.124,3.9769,0.963362574577,2.6114487648,0.999999880791,0.21921479702,0.509636461735,0.817196428776,0.915407299995
Woah,Lil Baby,42,119.958,0.964,0.035,0.53,2.3712166666666668,0.600928843021,8.1179265976,0.998786330223,0.11788161099,0.873338162899,0.911703765392,0.696237802505
Death Bed,Powfu,43,90.069,0.732,0.423,0.21,2.996383333333333,0.832326889038,7.6774969101,0.454260736704,0.0454634390771,0.309052497149,0.98367202282,0.629595398903
Senorita,Shawn Mendes,44,116.967,0.759,0.0392,0.029,3.18,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Highest in the Room,Travis Scott,45,76.469,0.598,0.0546,0.0317,2.9286833333333333,0.90171790123,3.33709359169,0.999999880791,0.167481735349,0.269092738628,0.645422518253,0.411385983229
Bad Guy,Billie Eilish,46,135.128,0.701,0.328,0.375,3.2348,0.640779674053,24.2089557648,3.00000096379e-14,0.999999880791,0.515458762646,0.808817088604,0.754786550999
Mood,24kGoldn,47,91.007,0.701,0.174,0.0361,2.342216666666667,0.915208756924,4.53272914886,0.987655937672,0.110107384622,0.260268807411,0.79944819212,0.687819719315
Rain on Me,Lady Gaga,48,95.0,0.791,0.183,0.0506,3.341333333333333,0.941546916962,3.26687526703,0.980263292789,0.614733338356,0.510960519314,0.889174699783,0.441952168941
For the Night,Pop Smoke,49,125.971,0.823,0.114,0.2,3.1746,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Ritmo,Black Eyed Peas,50,105.093,0.732,0.0295,0.0561,3.5809166666666665,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Heart on Ice,Rod Wave,51,157.875,0.732,0.0493,0.0741,2.6611666666666665,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
Nobody but You,Blake Shelton,52,143.912,0.463,0.111,0.0273,3.247783333333333,0.861799716949,3.4676668644,0.996536314487,0.0742097347975,0.309949755669,0.538872301579,0.147574350238
Trampoline,Shaed,53,138.096,0.517,0.561,0.0324,4.072666666666667,0.742222487926,5.54836368561,0.722457766533,0.227331414819,0.708696901798,0.737470149994,0.140534386039
Come & Go,Juice Wrld,54,144.991,0.625,0.0172,0.0657,3.42475,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
Truth Hurts,Lizzo,55,158.087,0.715,0.11,0.114,2.88875,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
If the World Was Ending,JP Saxe,56,95.948,0.841,0.153,0.229,3.5416666666666665,0.763618588448,5.71651363373,0.983037054539,0.0904417037964,0.154405802488,0.811287105083,0.70548927784
We Paid,Lil Baby,57,119.958,0.964,0.035,0.53,2.3712166666666668,0.600928843021,8.1179265976,0.998786330223,0.11788161099,0.873338162899,0.911703765392,0.696237802505
Yummy,Justin Bieber,58,94.01,0.795,0.108,0.0722,3.05,0.941546916962,3.26687526703,0.980263292789,0.614733338356,0.510960519314,0.889174699783,0.441952168941
One Man Band,Old Dominion,59,151.988,0.451,0.0838,0.291,2.7706666666666666,0.861799716949,3.4676668644,0.996536314487,0.0742097347975,0.309949755669,0.538872301579,0.147574350238
Got What I Got,Jason Aldean,60,159.847,0.512,0.621,0.029,2.969116666666667,0.742222487926,5.54836368561,0.722457766533,0.227331414819,0.708696901798,0.737470149994,0.140534386039
Sunday Best,Surfaces,61,108.877,0.329,0.0614,0.0335,3.517783333333333,0.861799716949,3.4676668644,0.996536314487,0.0742097347975,0.309949755669,0.538872301579,0.147574350238
Godzilla,Eminem,62,165.995,0.808,0.145,0.342,3.513333333333333,0.640779674053,24.2089557648,3.00000096379e-14,0.999999880791,0.515458762646,0.808817088604,0.754786550999
Bandit,Juice Wrld,63,144.991,0.625,0.0172,0.0657,3.42475,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
Party Girl,StaySolidRocky,64,112.127,0.93,0.593,0.0415,2.972533333333333,0.767934381962,4.97447824478,0.421720385551,0.310918480158,0.704472124577,0.923102796078,0.0481624938548
