title,artist,billboard_rank,tempo_from_public_dataset,danceability_from_public_dataset,acousticness,speechiness,duration_minutes,average_loudness,dynamic_complexity,danceable_probability,happy_probability,sad_probability,relaxed_probability,party_probability
Levitating,Dua Lipa,1,103.014,0.695,0.0561,0.0753,3.3968,0.90171790123,3.33709359169,0.999999880791,0.167481735349,0.269092738628,0.645422518253,0.411385983229
Save Your Tears,The Weeknd,2,118.051,0.68,0.0212,0.0309,3.5937833333333336,0.734312474728,5.61559009552,0.988387525082,0.369450896978,0.331308811903,0.737974047661,0.721018135548
Blinding Lights,The Weeknd,3,171.005,0.514,0.00146,0.0598,3.334,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
Mood,24kGoldn,4,91.007,0.701,0.174,0.0361,2.342216666666667,0.915208756924,4.53272914886,0.987655937672,0.110107384622,0.260268807411,0.79944819212,0.687819719315
Good 4 U,Olivia Rodrigo,5,166.928,0.563,0.335,0.154,2.969116666666667,0.777140319347,4.08998155594,0.997963190079,0.429100185633,0.558590173721,0.959189295769,0.70627373457
Kiss Me More,Doja Cat,6,110.97,0.764,0.259,0.0284,3.477783333333333,0.734312474728,5.61559009552,0.988387525082,0.369450896978,0.331308811903,0.737974047661,0.721018135548
Leave the Door Open,Silk Sonic,7,148.088,0.586,0.182,0.0324,4.034933333333333,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
Drivers License,Olivia Rodrigo,8,143.875,0.561,0.768,0.0578,4.03355,0.797360062599,4.62108564377,0.236697301269,0.3598267138,0.287087887526,0.821495950222,0.588645398617
Montero (Call Me by Your Name),Lil Nas X,9,178.781,0.593,0.293,0.22,2.2950666666666666,0.640779674053,24.2089557648,3.00000096379e-14,0.999999880791,0.515458762646,0.808817088604,0.754786550999
Peaches,Justin Bieber,10,90.03,0.677,0.321,0.119,3.3013666666666666,0.903241872787,2.12966561317,0.999537229538,0.613036990166,0.279316276312,0.809688508511,0.0103386901319
Butter,BTS,11,109.997,0.759,0.00323,0.0948,2.7492,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Stay,The Kid Laroi,12,169.928,0.591,0.0383,0.0483,2.363433333333333,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
Deja Vu,Olivia Rodrigo,13,180.917,0.442,0.584,0.112,3.5917833333333333,0.742222487926,5.54836368561,0.722457766533,0.227331414819,0.708696901798,0.737470149994,0.140534386039
Positions,Ariana Grande,14,144.015,0.737,0.468,0.0878,2.8720833333333333,0.777140319347,4.08998155594,0.997963190079,0.429100185633,0.558590173721,0.959189295769,0.70627373457
Bad Habits,Ed Sheeran,15,126.011,0.807,0.0451,0.0347,3.845783333333333,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Heat Waves,Glass Animals,16,80.87,0.761,0.44,0.0944,3.980083333333333,0.941546916962,3.26687526703,0.980263292789,0.614733338356,0.510960519314,0.889174699783,0.441952168941
Without You,The Kid Laroi,17,93.005,0.662,0.213,0.0299,2.68975,0.835866451263,3.77218961716,0.994216620922,0.708288788795,0.400147974491,0.185959249735,0.33303374052
Forever After All,Luke Combs,18,151.964,0.487,0.191,0.0253,3.87555,0.861799716949,3.4676668644,0.996536314487,0.0742097347975,0.309949755669,0.538872301579,0.147574350238
Go Crazy,Chris Brown,19,94.148,0.755,0.316,0.145,2.949333333333333,0.938247799873,4.00259399414,0.961608707905,0.0302187241614,0.341663807631,0.309068441391,0.535517990589
Astronaut in the Ocean,Masked Wolf,20,171.933,0.53,0.154,0.0438,2.139533333333333,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
34+35,Ariana Grande,21,109.978,0.83,0.237,0.094,2.895183333333333,0.938247799873,4.00259399414,0.961608707905,0.0302187241614,0.341663807631,0.309068441391,0.535517990589
What You Know Bout Love,Pop Smoke,22,83.995,0.709,0.65,0.353,2.6666666666666665,0.832326889038,7.6774969101,0.454260736704,0.0454634390771,0.309052497149,0.98367202282,0.629595398903
My Ex's Best Friend,Machine Gun Kelly,23,124.939,0.731,0.00473,0.0434,2.32435,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Industry Baby,Lil Nas X,24,150.087,0.741,0.0221,0.0672,3.5392166666666665,0.95696413517,3.04583024979,0.999999880791,0.524895846844,0.684066534042,0.735816240311,0.803327679634
Therefore I Am,Billie Eilish,25,120.006,0.704,0.902,0.0994,4.090433333333333,0.742222487926,5.54836368561,0.722457766533,0.227331414819,0.708696901798,0.737470149994,0.140534386039
Up,Cardi B,26,166.0,0.868,0.0012,0.269,2.61575,0.640779674053,24.2089557648,3.00000096379e-14,0.999999880791,0.515458762646,0.808817088604,0.754786550999
Fancy Like,Walker Hayes,27,135.929,0.616,0.356,0.0298,3.55645,0.797360062599,4.62108564377,0.236697301269,0.3598267138,0.287087887526,0.821495950222,0.588645398617
Dakiti,Bad Bunny,28,93.023,0.999999880791,0.0153,0.303,3.1581166666666665,0.88670706749,3.45144557953,0.999750733376,0.298062592745,0.275610148907,0.809657990932,0.494898617268
Best Friend,Saweetie,29,94.018,0.84,0.00302,0.136,2.5980666666666665,0.921585023403,4.4651632309,0.86701375246,0.177341639996,0.602901041508,0.958526790142,0.183010205626
Rapstar,Polo G,30,81.039,0.789,0.41,0.242,2.765433333333333,0.832326889038,7.6774969101,0.454260736704,0.0454634390771,0.309052497149,0.98367202282,0.629595398903
Heartbreak Anniversary,Giveon,31,89.087,0.449,0.524,0.0791,3.3061833333333333,0.742222487926,5.54836368561,0.722457766533,0.227331414819,0.708696901798,0.737470149994,0.140534386039
For the Night,Pop Smoke,32,125.971,0.823,0.114,0.2,3.1746,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Calling My Phone,Lil Tjay,33,104.949,0.907,0.451,0.0539,3.4243,0.767934381962,4.97447824478,0.421720385551,0.310918480158,0.704472124577,0.923102796078,0.0481624938548
Beautiful Mistakes,Maroon 5,34,99.048,0.713,0.0377,0.027,3.7899166666666666,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Holy,Justin Bieber,35,83.903,0.511,0.349,0.2,3.9972666666666665,0.264016389847,5.37405109406,0.99503326416,0.307444959879,0.439626008272,0.655651390553,0.849270701408
On Me,Lil Baby,36,77.972,0.856,0.00327,0.392,2.266,0.300030201674,7.41521024704,0.984823286533,0.00553943170235,0.491977334023,0.989250123501,0.480029284954
You Broke Me First,Tate McRae,37,124.148,0.667,0.785,0.05,2.8211,0.742222487926,5.54836368561,0.722457766533,0.227331414819,0.708696901798,0.737470149994,0.140534386039
Traitor,Olivia Rodrigo,38,100.607,0.38,0.691,0.0338,3.82045,0.742222487926,5.54836368561,0.722457766533,0.227331414819,0.708696901798,0.737470149994,0.140534386039
Back in Blood,Pooh Shiesty,39,76.923,0.183,0.989,0.0486,1.289116666666667,0.742222487926,5.54836368561,0.722457766533,0.227331414819,0.708696901798,0.737470149994,0.140534386039
I Hope,Gabby Barrett,40,106.948,0.9,0.43,0.222,4.2,0.763618588448,5.71651363373,0.983037054539,0.0904417037964,0.154405802488,0.811287105083,0.70548927784
Dynamite,BTS,41,114.044,0.746,0.0112,0.0993,3.3175666666666666,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Wockesha,Moneybagg Yo,42,82.103,0.582,0.129,0.619,3.0155,0.600928843021,8.1179265976,0.998786330223,0.11788161099,0.873338162899,0.911703765392,0.696237802505
You Right,Doja Cat,43,128.986,0.828,0.0164,0.0565,3.102883333333333,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Beat Box 2,SpotemGottem,44,90.09,0.748,0.142,0.516,3.68355,0.600928843021,8.1179265976,0.998786330223,0.11788161099,0.873338162899,0.911703765392,0.696237802505
Laugh Now Cry Later,Drake,45,154.983,0.912,0.0164,0.124,3.9769,0.963362574577,2.6114487648,0.999999880791,0.21921479702,0.509636461735,0.817196428776,0.915407299995
Need to Know,Doja Cat,46,130.041,0.664,0.304,0.0707,3.509333333333333,0.797360062599,4.62108564377,0.236697301269,0.3598267138,0.287087887526,0.821495950222,0.588645398617
Wants and Needs,Drake,47,154.983,0.912,0.0164,0.124,3.9769,0.963362574577,2.6114487648,0.999999880791,0.21921479702,0.509636461735,0.817196428776,0.915407299995
Way 2 Sexy,Drake,48,154.983,0.912,0.0164,0.124,3.9769,0.963362574577,2.6114487648,0.999999880791,0.21921479702,0.509636461735,0.817196428776,0.915407299995
Telepatia,Kali Uchis,49,83.97,0.653,0.112,0.0502,2.66985,0.90171790123,3.33709359169,0.999999880791,0.167481735349,0.269092738628,0.645422518253,0.411385983229
Whoopty,CJ,50,139.917,0.74,0.0183,0.0506,2.847633333333333,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Lemonade,Internet Money,51,95.031,0.708,0.316,0.0266,2.742,0.835866451263,3.77218961716,0.994216620922,0.708288788795,0.400147974491,0.185959249735,0.33303374052
Good Days,SZA,52,138.096,0.517,0.561,0.0324,4.072666666666667,0.742222487926,5.54836368561,0.722457766533,0.227331414819,0.708696901798,0.737470149994,0.140534386039
Starting Over,Chris Stapleton,53,89.124,0.638,0.452,0.0315,4.006883333333334,0.903241872787,2.12966561317,0.999537229538,0.613036990166,0.279316276312,0.809688508511,0.0103386901319
Body,Megan Thee Stallion,54,94.066,0.914,0.0166,0.241,2.8511166666666665,0.921585023403,4.4651632309,0.86701375246,0.177341639996,0.602901041508,0.958526790142,0.183010205626
Willow,Taylor Swift,55,135.917,0.615,0.106,0.0386,3.940216666666666,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
Bang!,AJR,56,139.917,0.74,0.0183,0.0506,2.847633333333333,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
