title,artist,billboard_rank,tempo_from_public_dataset,danceability_from_public_dataset,acousticness,speechiness,duration_minutes,average_loudness,dynamic_complexity,danceable_probability,happy_probability,sad_probability,relaxed_probability,party_probability
Heat Waves,Glass Animals,1,80.87,0.761,0.44,0.0944,3.980083333333333,0.941546916962,3.26687526703,0.980263292789,0.614733338356,0.510960519314,0.889174699783,0.441952168941
As It Was,Harry Styles,2,173.93,0.52,0.342,0.0557,2.788383333333333,0.777140319347,4.08998155594,0.997963190079,0.429100185633,0.558590173721,0.959189295769,0.70627373457
Stay,The Kid Laroi,3,169.928,0.591,0.0383,0.0483,2.363433333333333,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
Easy on Me,Adele,4,141.981,0.604,0.578,0.0282,3.7449166666666662,0.742222487926,5.54836368561,0.722457766533,0.227331414819,0.708696901798,0.737470149994,0.140534386039
Shivers,Ed Sheeran,5,141.02,0.788,0.281,0.0856,3.4642166666666667,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
First Class,Jack Harlow,6,107.005,0.902,0.111,0.109,2.8991333333333333,0.921585023403,4.4651632309,0.86701375246,0.177341639996,0.602901041508,0.958526790142,0.183010205626
Big Energy,Latto,7,106.022,0.937,0.0453,0.115,2.8756666666666666,0.921585023403,4.4651632309,0.86701375246,0.177341639996,0.602901041508,0.958526790142,0.183010205626
Ghost,Justin Bieber,8,153.96,0.601,0.185,0.0478,2.553166666666667,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
Super Gremlin,Kodak Black,9,72.993,0.825,0.00265,0.144,3.3424666666666667,0.18598203361,6.0586438179,0.995114862919,0.111137069762,0.343690961599,0.589881718159,0.605281054974
Cold Heart,Elton John,10,116.032,0.795,0.0354,0.0309,3.3789166666666666,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Wait for U,Future,11,83.389,0.463,0.314,0.34,3.164883333333333,0.832326889038,7.6774969101,0.454260736704,0.0454634390771,0.309052497149,0.98367202282,0.629595398903
About Damn Time,Lizzo,12,108.965,0.836,0.0974,0.0653,3.1989666666666667,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Bad Habits,Ed Sheeran,13,126.011,0.807,0.0451,0.0347,3.845783333333333,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Thats What I Want,Lil Nas X,14,87.981,0.737,0.00614,0.22,2.39835,0.921585023403,4.4651632309,0.86701375246,0.177341639996,0.602901041508,0.958526790142,0.183010205626
Enemy,Imagine Dragons,15,77.011,0.728,0.237,0.266,2.889683333333333,0.832326889038,7.6774969101,0.454260736704,0.0454634390771,0.309052497149,0.98367202282,0.629595398903
Industry Baby,Lil Nas X,16,150.087,0.741,0.0221,0.0672,3.5392166666666665,0.95696413517,3.04583024979,0.999999880791,0.524895846844,0.684066534042,0.735816240311,0.803327679634
ABCDEFU,Gayle,17,127.982,0.631,0.0962,0.0274,1.3934166666666667,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Need to Know,Doja Cat,18,130.041,0.664,0.304,0.0707,3.509333333333333,0.797360062599,4.62108564377,0.236697301269,0.3598267138,0.287087887526,0.821495950222,0.588645398617
Wasted on You,Morgan Wallen,19,196.0,0.505,0.373,0.0318,2.9753333333333334,0.766495466232,4.57856893539,0.836672306061,0.5,0.535766303539,0.975322842598,0.124947212636
Me Porto Bonito,Bad Bunny,20,92.005,0.911,0.0901,0.0817,2.9761166666666665,0.921585023403,4.4651632309,0.86701375246,0.177341639996,0.602901041508,0.958526790142,0.183010205626
Woman,Doja Cat,21,107.998,0.824,0.0888,0.0854,2.8771166666666668,0.941546916962,3.26687526703,0.980263292789,0.614733338356,0.510960519314,0.889174699783,0.441952168941
Titi Me Pregunto,Bad Bunny,22,106.672,0.65,0.0993,0.253,4.06195,0.264016389847,5.37405109406,0.99503326416,0.307444959879,0.439626008272,0.655651390553,0.849270701408
Running Up That Hill,Kate Bush,23,108.296,0.625,0.659,0.0596,5.014,0.700807750225,5.74363422394,0.223896637559,0.263168692589,0.591698288918,0.994870960712,0.0705413222313
We Don't Talk About Bruno,Carolina Gaitan,24,118.564,0.336,0.99,0.0477,5.539333333333333,0.742222487926,5.54836368561,0.722457766533,0.227331414819,0.708696901798,0.737470149994,0.140534386039
Late Night Talking,Harry Styles,25,114.996,0.714,0.298,0.0468,2.9659166666666668,0.903241872787,2.12966561317,0.999537229538,0.613036990166,0.279316276312,0.809688508511,0.0103386901319
I Like You,Post Malone,26,100.964,0.733,0.121,0.0751,3.2140166666666667,0.941546916962,3.26687526703,0.980263292789,0.614733338356,0.510960519314,0.889174699783,0.441952168941
You Proof,Morgan Wallen,27,119.706,0.731,0.252,0.0336,2.624633333333333,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
Bad Habit,Steve Lacy,28,168.946,0.686,0.613,0.0355,3.867783333333333,0.820662796497,5.32311677933,0.987185537815,0.538088202477,0.518492400646,0.987113058567,0.198528885841
Sunroof,Nicky Youre,29,131.478,0.77,0.324,0.046,2.708916666666666,0.868345558643,3.02766156197,0.999150156975,0.334370821714,0.270907640457,0.725560307503,0.196661233902
One Right Now,Post Malone,30,97.023,0.682,0.0363,0.0477,3.2120166666666665,0.90171790123,3.33709359169,0.999999880791,0.167481735349,0.269092738628,0.645422518253,0.411385983229
Good 4 U,Olivia Rodrigo,31,166.928,0.563,0.335,0.154,2.969116666666667,0.777140319347,4.08998155594,0.997963190079,0.429100185633,0.558590173721,0.959189295769,0.70627373457
